id,category,value,volume
1,Type C,108.73184192069559,11
2,Type A,113.31622689390036,394
3,Type C,113.41498495163142,313
4,Type C,111.32496695867104,263
5,Type A,96.89251164843138,149
6,Type A,90.6478390752256,462
7,Type C,77.37770065678777,46
8,Type B,116.4947046367723,169
9,Type C,97.33401818094018,18
10,Type C,93.84425036970549,242
11,Type C,117.69574517051052,108
12,Type C,86.52688090816483,156
13,Type A,112.52193128845643,313
14,Type C,104.44842076493455,217
15,Type B,84.43255185226776,140
16,Type A,98.86294382457721,413
17,Type B,114.5944530063368,161
18,Type B,111.93393195843913,63
19,Type B,122.43151379325211,129
20,Type B,105.0727187798998,170
21,Type A,150.5844438044001,417
22,Type A,86.19413792398936,125
23,Type B,94.02042414977198,84
24,Type B,99.0870386878788,122
25,Type A,78.71874312112897,465
26,Type A,115.63737426009132,429
27,Type A,113.55298735938763,431
28,Type C,100.28500496593225,113
29,Type C,91.98375319489742,349
30,Type C,77.57419193778496,263
31,Type B,88.1611250695312,236
32,Type C,111.1556692565684,121
33,Type B,96.8175786743256,482
34,Type B,93.59696808940416,108
35,Type C,107.52172497287208,162
36,Type B,117.37279979398042,358
37,Type C,103.85675305084419,411
38,Type C,104.71769343794757,393
39,Type A,120.57793200324664,375
40,Type C,102.63329940932249,347
41,Type A,95.36067180333134,203
42,Type C,110.09688254160963,319
43,Type C,96.15054725961168,172
44,Type A,94.48261413800859,217
45,Type A,119.10600430209334,454
46,Type C,95.6207099376157,178
47,Type B,60.17235928654795,493
48,Type A,105.1827691583315,170
49,Type B,94.0672532262956,77
50,Type B,95.66294715295086,298
51,Type B,106.79404489800264,407
52,Type A,97.50908637473403,286
53,Type B,103.22408245142132,313
54,Type A,69.66527600206398,413
55,Type B,85.85414787299106,393
56,Type C,121.0593810798894,401
57,Type C,99.7217379323254,144
58,Type A,74.89743067014665,204
59,Type C,83.91202248346514,410
60,Type C,85.11120730895215,137
61,Type B,101.535215238245,42
62,Type A,93.5108607917798,185
63,Type B,90.11226546345283,469
64,Type B,100.05905956647103,452
65,Type B,107.16631149150291,380
66,Type B,96.11457032891664,479
67,Type B,91.379361885799,384
68,Type B,93.67752669490174,31
69,Type B,105.09731446279966,247
70,Type A,99.8892977508314,167
71,Type C,111.50945258059606,47
72,Type B,82.75311133758463,239
73,Type B,88.36995841064584,374
74,Type B,111.59711283833873,60
75,Type B,87.97258234975459,447
76,Type B,120.76023578399017,273
77,Type B,121.07807958817281,292
78,Type C,120.88488630237855,36
79,Type C,86.79038772205347,235
80,Type B,101.15342422876857,286
81,Type C,92.5985127669501,295
82,Type A,113.8474391251293,106
83,Type B,125.59907430517693,293
84,Type A,113.10384123453069,376
85,Type A,100.13716518610207,457
86,Type B,94.51691054751186,490
87,Type C,109.73630098943659,462
88,Type A,81.6568969498704,326
89,Type B,108.04504048573098,313
90,Type A,86.27963603108084,156
91,Type A,109.30822323942603,13
92,Type A,97.58593934705405,44
93,Type A,94.1760340153508,201
94,Type C,86.71731439256727,58
95,Type A,94.64882461347709,26
96,Type A,108.34182697800948,181
97,Type A,115.65790916377986,229
98,Type C,107.89672242002044,167
99,Type A,120.45829786625657,486
100,Type A,138.08744074403998,55
